video_name,class_idx
video_10061,0
video_101026,0
video_101139,0
video_10121,0
video_101244,0
video_101246,0
video_10136,0
video_101712,0
video_101837,0
video_101872,0
video_102415,0
video_102591,0
video_102942,0
video_102952,0
video_10304,0
video_103357,0
video_103848,0
video_103947,0
video_104183,0
video_104491,0
video_104861,0
video_104875,0
video_104930,0
video_10510,0
video_105239,0
video_105369,0
video_105754,0
video_105755,0
video_105861,0
video_105960,0
video_106298,0
video_106313,0
video_106365,0
video_106486,0
video_106916,0
video_107064,0
video_107111,0
video_10718,0
video_107693,0
video_107901,0
video_108084,0
video_108476,0
video_10859,0
video_108619,0
video_108702,0
video_108756,0
video_108765,0
video_108962,0
video_109015,0
video_109466,0
video_109631,0
video_109771,0
video_110299,0
video_110593,0
video_110604,0
video_110829,0
video_110924,0
video_111062,0
video_111237,0
video_111551,0
video_111691,0
video_111778,0
video_111847,0
video_112151,0
video_11233,0
video_112479,0
video_113139,0
video_113582,0
video_113611,0
video_113770,0
video_113830,0
video_113831,0
video_113870,0
video_113881,0
video_113909,0
video_114050,0
video_114437,0
video_114564,0
video_1151,0
video_11518,0
video_115282,0
video_115515,0
video_115932,0
video_116096,0
video_116289,0
video_116368,0
video_116384,0
video_116436,0
video_116455,0
video_116482,0
video_116634,0
video_116690,0
video_11680,0
video_116817,0
video_116850,0
video_116956,0
video_117316,0
video_117573,0
video_117738,0
video_11774,0
video_117952,0
video_117959,0
video_118113,0
video_11814,0
video_118838,0
video_118942,0
video_119100,0
video_119159,0
video_119314,0
video_119471,0
video_119734,0
video_119744,0
video_119802,0
video_119833,0
video_119853,0
video_12035,0
video_120351,0
video_120581,0
video_120637,0
video_120645,0
video_120916,0
video_12093,0
video_120951,0
video_121220,0
video_121557,0
video_121650,0
video_121962,0
video_122030,0
video_122200,0
video_122841,0
video_123003,0
video_123155,0
video_123535,0
video_123616,0
video_12366,0
video_123778,0
video_123908,0
video_124123,0
video_124360,0
video_124384,0
video_124575,0
video_124842,0
video_124990,0
video_125250,0
video_125883,0
video_125943,0
video_125993,0
video_126200,0
video_126216,0
video_126246,0
video_126302,0
video_126368,0
video_126370,0
video_126392,0
video_126511,0
video_126682,0
video_126798,0
video_12713,0
video_127294,0
video_127703,0
video_127782,0
video_127831,0
video_127896,0
video_128032,0
video_128308,0
video_128586,0
video_128778,0
video_128837,0
video_128881,0
video_129009,0
video_129320,0
video_129467,0
video_129617,0
video_129839,0
video_129881,0
video_130136,0
video_130149,0
video_130348,0
video_13039,0
video_130397,0
video_130426,0
video_130673,0
video_130794,0
video_130957,0
video_131577,0
video_131944,0
video_132003,0
video_132078,0
video_132347,0
video_132471,0
video_132543,0
video_13264,0
video_132755,0
video_132958,0
video_133521,0
